ID,City,Name,Web_Lat,Web_Lon,Sys_Name,Sys_Dist,CSV_Name,CSV_Dist,Status
10001,広島市南区,西部建設,34.3816667,132.4683333,西部建設,0.0,西部建設,0.0,OK
10002,広島市安佐南区,瀬戸内ハイツ,34.4744444,132.4211111,瀬戸内ハイツ,0.0,瀬戸内ハイツ,0.0,OK
10003,広島市安芸区,上瀬野,34.4283333,132.6322222,上瀬野,0.0,上瀬野,0.0,OK
10004,広島市佐伯区,重光,34.4298056,132.2861944,重光,0.0,重光,0.0,OK
10005,廿日市市,後畑,34.4044444,132.3066667,後畑,0.0,後畑,0.0,OK
10006,熊野町,熊野町,34.3388889,132.5827778,熊野町,0.0,熊野町,0.0,OK
10007,呉市,呉支所,34.2469444,132.5561111,呉支所,0.0,呉支所,0.0,OK
10008,呉市,蒲刈町,34.1972222,132.7325,蒲刈町,0.0,蒲刈町,0.0,OK
10009,廿日市市,吉和,34.484384,132.137638,吉和,0.0,吉和,0.0,OK
10010,廿日市市,栗栖,34.375,132.1391667,栗栖,0.0,栗栖,0.0,OK
10011,廿日市市,廿日市支所,34.3572778,132.3431111,廿日市支所,0.0,廿日市支所,0.0,OK
10012,廿日市市,大野,34.2866667,132.2755556,大野,0.0,大野,0.0,OK
10013,江田島市,大柿町,34.1727778,132.4616667,大柿町,0.0,大柿町,0.0,OK
10014,安芸太田町,安芸太田支所,34.6119444,132.3272222,安芸太田支所,0.0,安芸太田支所,0.0,OK
10015,北広島町,芸北,34.7566667,132.28,芸北,0.0,芸北,0.0,OK
10016,安芸高田市,吉田町,34.6680556,132.7116667,吉田町,0.0,吉田町,0.0,OK
10017,安芸高田市,八千代町,34.6205556,132.6063889,八千代町,0.0,八千代町,0.0,OK
10018,安芸高田市,美土里町,34.7261111,132.6269444,美土里町,0.0,美土里町,0.0,OK
10019,東広島市,東広島支所,34.4252778,132.7436111,東広島支所,0.0,東広島支所,0.0,OK
10020,東広島市,黒瀬町,34.3244444,132.6766667,黒瀬町,0.0,黒瀬町,0.0,OK
10021,東広島市,河内,34.4719444,132.8919444,河内,0.0,河内,0.0,OK
10022,東広島市,造賀,34.4852778,132.7622222,造賀,0.0,造賀,0.0,OK
10023,東広島市,乃美,34.5680556,132.8277778,乃美,0.0,乃美,0.0,OK
10024,三原市,下徳良,34.5403333,132.9514167,下徳良,0.0,下徳良,0.0,OK
10025,呉市,野呂川ダム,34.2891111,132.7098889,野呂川ダム,0.0,野呂川ダム,0.0,OK
10026,東広島市,三津,34.3291667,132.8175,三津,0.0,三津,0.0,OK
10027,竹原市,竹原,34.3352778,132.9005556,竹原,7504.6,竹原,7504.6,DIFF
10028,大崎上島町,大崎町,34.2419444,132.8894444,大崎町,0.0,大崎町,0.0,OK
10029,三原市,甲原,34.3694444,132.9761111,甲原,0.0,甲原,0.0,OK
10030,三原市,本谷,34.4247222,132.9183333,本谷,0.0,本谷,0.0,OK
10031,三原市,菅川橋,34.4294444,132.98,菅川橋,0.0,菅川橋,0.0,OK
10032,三原市,三原支所,34.3936111,133.0775,三原支所,0.0,三原支所,0.0,OK
10033,尾道市,因島,34.2944444,133.1694444,因島,0.0,因島,0.0,OK
10034,尾道市,美之郷,34.4477778,133.1580556,美之郷,0.0,美之郷,0.0,OK
10035,尾道市,梶山田,34.4952778,133.2141667,梶山田,0.0,梶山田,0.0,OK
10036,尾道市,御調,34.5013889,133.0763889,御調,3633.9,御調,3633.9,DIFF
10037,三原市,江木,34.5433333,133.0311111,江木,0.0,江木,0.0,OK
10038,福山市,加茂,34.5886111,133.3563889,加茂,0.0,加茂,0.0,OK
10039,福山市,上安井,34.5880556,133.2686111,上安井,0.0,上安井,0.0,OK
10040,福山市,沼隈町,34.3902778,133.3180556,沼隈町,0.0,沼隈町,0.0,OK
10041,福山市,東部建設,34.4938889,133.3725,東部建設,0.0,東部建設,0.0,OK
10042,世羅町,安田,34.6383333,133.0072222,安田,0.0,安田,0.0,OK
10043,神石高原町,井関,34.68,133.2977222,井関,0.0,井関,0.0,OK
10044,神石高原町,神石町,34.8002778,133.1772222,神石町,0.0,神石町,0.0,OK
10045,三次市,北部建設,34.8047222,132.8594444,北部建設,0.0,北部建設,0.0,OK
10046,三次市,三次石原,34.7255556,132.8997222,三次石原,0.0,三次石原,0.0,OK
10047,三次市,上壱,34.6508333,132.8622222,上壱,0.0,上壱,0.0,OK
10048,庄原市,比和,34.9833333,132.9855556,比和(国),1165.3,比和(国),1165.3,DIFF
10049,庄原市,庄原支所,34.8594444,133.0186111,庄原支所,0.0,庄原支所,0.0,OK
10050,廿日市市,小瀬川ダム,34.3088889,132.1238889,小瀬川ダム,0.0,小瀬川ダム,0.0,OK
10051,広島市佐伯区,魚切ダム,34.4283333,132.3302778,魚切ダム,0.0,魚切ダム,0.0,OK
10052,東広島市,椋梨ダム,34.5025278,132.89325,椋梨ダム,0.0,椋梨ダム,0.0,OK
10053,東広島市,下三永,34.3969444,132.7688889,下三永,0.0,下三永,0.0,OK
10054,東広島市,吉川,34.3969444,132.6766667,吉川,0.0,吉川,0.0,OK
10055,東広島市,篠,34.4761111,132.7244444,篠,0.0,篠,0.0,OK
10056,世羅町,三川,34.615,133.1055556,三川,0.0,三川,0.0,OK
10057,世羅町,甲山,34.5847222,133.0580556,甲山,0.0,甲山,0.0,OK
10058,福山市,七社,34.5280556,133.3436111,七社,0.0,七社,0.0,OK
10059,世羅町,賀茂,34.5788889,132.9758333,賀茂,1305.5,賀茂,1305.5,DIFF
10060,福山市,四川,34.5997222,133.3380556,四川,0.0,四川,0.0,OK
10061,世羅町,山田川ダム,34.6366667,133.0725,山田川ダム,0.0,山田川ダム,0.0,OK
10062,府中市,二森,34.7026389,133.1371111,二森,0.0,二森,0.0,OK
10063,広島市佐伯区,梶毛ダム,34.4408333,132.3775,梶毛ダム,0.0,梶毛ダム,0.0,OK
10064,広島市安佐北区,飯室,34.5352778,132.4338889,飯室(国),0.0,飯室(国),0.0,OK
10065,広島市佐伯区,湯来,34.5244444,132.3155556,湯来(国),0.0,湯来(国),0.0,OK
10066,広島市安佐北区,白木,34.5505556,132.6738889,白木(三日市),3694.0,白木(三日市),3694.0,DIFF
10067,安芸太田町,加計,34.6088889,132.3197222,加計(国),126.1,加計(国),126.1,DIFF
10068,北広島町,七曲,34.615,132.3994444,七曲(国),0.0,七曲(国),0.0,OK
10069,広島市安佐南区,戸山,34.4816667,132.355,戸山(国),0.0,戸山(国),0.0,OK
10070,広島市佐伯区,大谷,34.4286111,132.1980556,大谷(国),0.0,大谷(国),0.0,OK
10071,広島市安佐北区,鈴張,34.5836111,132.4697222,鈴張(国),0.0,鈴張(国),0.0,OK
10072,安芸高田市,向原,34.6075,132.7616667,向原(国),0.0,向原(国),0.0,OK
10073,安芸太田町,筒賀,34.5580556,132.2475,筒賀(国),0.0,筒賀(国),0.0,OK
10074,広島市安佐北区,大林,34.5611111,132.5566667,大林(国),0.0,大林(国),0.0,OK
10075,広島市安佐北区,南原,34.5516667,132.5147222,南原(国),0.0,南原(国),0.0,OK
10076,広島市安佐北区,狩留家,34.4858333,132.5813889,狩留家,2070.1,狩留家,2070.1,DIFF
10077,広島市安佐南区,高瀬,34.4802778,132.4997222,高瀬(国),0.0,高瀬(国),0.0,OK
10078,安芸太田町,松原,34.6602778,132.2352778,松原(国),3241.4,松原(国),3241.4,DIFF
10079,北広島町,溝口,34.705,132.3819444,溝口(国),0.0,溝口(国),0.0,OK
10080,広島市中区,広島,34.3969444,132.4622222,広島(気),162.6,広島(気),162.6,DIFF
10081,北広島町,大朝,34.7644444,132.4838889,大朝(気),1926.8,大朝(気),1926.8,DIFF
10082,北広島町,志路原,34.7155556,132.4433333,志路原(国),0.0,志路原(国),0.0,OK
10083,北広島町,本地,34.6422222,132.5058333,本地(国),0.0,本地(国),0.0,OK
10084,北広島町,藤原,34.7375,132.5405556,藤原(国),0.0,藤原(国),0.0,OK
10085,安芸高田市,土師,34.6441667,132.6222222,土師(国),0.0,土師(国),0.0,OK
10086,三次市,三次,34.8038889,132.8455556,三次(国),955.3,三次(国),955.3,DIFF
10087,庄原市,総領,34.7830556,133.0666667,総領(国),0.0,総領(国),0.0,OK
10088,安芸高田市,高宮,34.7816667,132.7444444,高宮(国),0.0,高宮(国),0.0,OK
10089,三次市,吉舎,34.7219444,132.9916667,吉舎(国),0.0,吉舎(国),0.0,OK
10090,三次市,布野,34.8855556,132.78,布野(国),0.0,布野(国),0.0,OK
10091,三次市,板木,34.6933333,132.8322222,板木(国),0.0,板木(国),0.0,OK
10092,安芸高田市,美土里,34.7666667,132.6380556,美土里(国),5237.8,美土里(国),5237.8,DIFF
10093,庄原市,大月,34.915,132.8833333,大月(国),0.0,大月(国),0.0,OK
10094,世羅町,津名,34.6613889,132.9169444,津名(国),0.0,津名(国),0.0,OK
10095,庄原市,庄原,34.8630556,133.0122222,庄原(国),1069.2,庄原(国),1069.2,DIFF
10096,庄原市,比和,34.9730556,132.9830556,比和(国),0.0,比和(国),0.0,OK
10097,庄原市,油木,35.0463889,133.1102778,油木(国),0.0,油木(国),0.0,OK
10098,庄原市,西城,34.9441667,133.1197222,西城(国),0.0,西城(国),0.0,OK
10099,庄原市,高暮,34.995,132.795,高暮(国),4170.2,高暮(国),4170.2,DIFF
