観測所番号,観測所名,ふりがな,水系名,河川名,河川名(表示用),市町村名,住所,緯度,経度,所管事務所名,データ所管,零点高[T.P.m],水防団待機[m],はん濫注意[m],避難判断[m],はん濫危険[m]
1,三篠橋(国),みささばし,太田川,旧太田川,,広島市中区,広島市中区基町1番地,34.407222222222224,132.4572222222222,西部建設事務所,国土交通省,-0.50,2.50,2.70,2.80,3.20
2,江波(旧太田川)(国),えば（きゅうおおたがわ）,太田川,旧太田川,,広島市中区,広島市中区江波南2丁目,34.361666666666665,132.4322222222222,西部建設事務所,国土交通省,-0.04,2.00,2.50,2.70,2.70
180,温品,ぬくしな,太田川,府中大川,,広島市東区,広島県広島市東区温品七丁目,34.41416666666667,132.51083333333332,西部建設事務所,河川課,,,1.00,1.15,1.45
1061,段原,だんばら,太田川,京橋川,,広島市南区,広島市南区段原末広町地先,34.39055555555556,132.4777777777778,西部建設事務所,河川課,0.33,,,,2.15
61,段原,だんばら,太田川,猿猴川,,広島市南区,広島市南区段原末広町地先,34.39055555555556,132.4777777777778,西部建設事務所,河川課,0.33,,,,2.15
18,祇園大橋(国),ぎおんおおはし,太田川,太田川,,広島市西区,広島市西区大宮3丁目,34.42388888888889,132.4586111111111,西部建設事務所,国土交通省,0.00,2.90,4.30,6.40,7.00
19,草津(国),くさつ,太田川,太田川放水路,,広島市西区,広島市西区草津港1丁目,34.36277777777778,132.40416666666667,西部建設事務所,国土交通省,0.00,,,,
17,長和久(国),ながわく,太田川,太田川,,広島市安佐南区,広島市安佐南区長束1丁目,34.42638888888889,132.46138888888888,西部建設事務所,国土交通省,0.00,,,,
3,古川(国),ふるかわ,太田川,古川,,広島市安佐南区,広島市安佐南区安古市町古市,34.45388888888889,132.47472222222223,西部建設事務所,国土交通省,2.90,,,4.20,5.90
1,上安,かみやす,太田川,安川,,広島市安佐南区,広島市安佐南区相田２丁目地先,34.46944444444445,132.46027777777778,西部建設事務所,河川課,8.77,2.35,2.70,2.85,3.25
12,飯室(国),いむろ,太田川,太田川,,広島市安佐北区,広島市安佐北区安佐町毛木,34.53527777777778,132.4338888888889,西部建設事務所,国土交通省,47.50,2.50,3.80,6.00,7.10
13,中野(国),なかの,太田川,太田川,,広島市安佐北区,広島市安佐北区可部1丁目,34.50888888888889,132.5088888888889,西部建設事務所,国土交通省,15.32,4.30,5.50,6.20,6.90
14,玖村(国),くむら,太田川,太田川,,広島市安佐北区,広島市安佐北区落合2丁目,34.48416666666667,132.50972222222222,西部建設事務所,国土交通省,10.00,2.70,4.50,,
15,矢口第二(国),やぐちだいに,太田川,太田川,,広島市安佐北区,広島市安佐北区口田5丁目,34.471111111111114,132.49666666666664,西部建設事務所,国土交通省,6.00,,,,
16,矢口第一(国),やぐちだいいち,太田川,太田川,,広島市安佐北区,広島市安佐北区口田1丁目,34.461666666666666,132.49388888888888,西部建設事務所,国土交通省,4.50,3.40,5.00,6.10,7.40
6,白木(国),しらき,太田川,三篠川,,広島市安佐北区,広島市安佐北区白木町小越,34.552499999999995,132.6602777777778,西部建設事務所,国土交通省,115.50,,,,
181,三田大橋,みたおおはし,太田川,三篠川,,広島市安佐北区,広島市安佐北区白木町三田,34.52807055555555,132.63419416666665,西部建設事務所,河川課,89.10,,1.25,1.25,1.45
7,中深川(国),なかふかわ,太田川,三篠川,,広島市安佐北区,広島市安佐北区中深川4丁目,34.48388888888889,132.53305555555556,西部建設事務所,国土交通省,18.00,2.00,2.80,3.00,3.30
8,上庄(国),かみじょう,太田川,三篠川,,広島市安佐北区,広島市安佐北区深川3丁目,34.48972222222222,132.52861111111113,西部建設事務所,国土交通省,15.50,,,,
76,三入南,みいりみなみ,太田川,根谷川,,広島市安佐北区,広島市安佐北区三入３丁目,34.53777777777778,132.5252777777778,西部建設事務所,河川課,49.86,0.75,1.30,1.35,1.65
4,上原橋(国),うえはらばし,太田川,根谷川,,広島市安佐北区,広島市安佐北区可部2丁目,34.5125,132.51305555555555,西部建設事務所,国土交通省,21.96,,,,
5,新川橋(国),しんかわばし,太田川,根谷川,,広島市安佐北区,広島市安佐北区可部南2丁目,34.507777777777775,132.51583333333335,西部建設事務所,国土交通省,17.00,1.30,2.20,2.60,3.80
154,南原,なばら,太田川,南原川,,広島市安佐北区,広島市安佐北区可部町上町屋字下小野1452番2,34.54055555555556,132.515,西部建設事務所,河川課,70.40,,1.05,1.90,2.00
84,亀山,かめやま,太田川,大毛寺川,,広島市安佐北区,広島市安佐北区亀山,34.52305555555555,132.49694444444444,西部建設事務所,河川課,37.42,,,,
74,向田,むこうだ,太田川,鈴張川,,広島市安佐北区,広島市安佐北区安佐町大字飯室字向田４４０１番４,34.5625,132.44916666666668,西部建設事務所,河川課,106.71,,1.45,2.10,2.45
77,久地,くち,太田川,吉山川,,広島市安佐北区,広島市安佐北区安佐町大字久地字城下乙４４９２番,34.51916666666666,132.4052777777778,西部建設事務所,河川課,77.62,,,,
78,瀬野,せの,瀬野川,瀬野川,,広島市安芸区,広島市安芸区瀬野１丁目１１２３,34.42194444444444,132.605,西部建設事務所,河川課,54.61,,1.50,1.80,2.00
7,菅沢,すがさわ,太田川,水内川,,広島市佐伯区,広島市佐伯区湯来町大字菅沢字向志割５３１番地地先,34.48111111111111,132.2588888888889,西部建設事務所,河川課,231.29,1.50,2.40,3.25,3.50
